Training initial dynamic: 
Total training time for initial dynamic 0:2
total loss: tensor(7.7480, grad_fn=<AddBackward0>) lctensor(4.7578, grad_fn=<MulBackward0>)
total loss: tensor(8.2049, grad_fn=<AddBackward0>) lctensor(4.0184, grad_fn=<MulBackward0>)
total loss: tensor(7.0310, grad_fn=<AddBackward0>) lctensor(4.6381, grad_fn=<MulBackward0>)
total loss: tensor(6.4767, grad_fn=<AddBackward0>) lctensor(4.3020, grad_fn=<MulBackward0>)
total loss: tensor(5.7004, grad_fn=<AddBackward0>) lctensor(4.7636, grad_fn=<MulBackward0>)
total loss: tensor(5.4954, grad_fn=<AddBackward0>) lctensor(3.9050, grad_fn=<MulBackward0>)
total loss: tensor(3.7162, grad_fn=<AddBackward0>) lctensor(4.3869, grad_fn=<MulBackward0>)
total loss: tensor(2.3659, grad_fn=<AddBackward0>) lctensor(4.6991, grad_fn=<MulBackward0>)
total loss: tensor(1.5652, grad_fn=<AddBackward0>) lctensor(4.5481, grad_fn=<MulBackward0>)
total loss: tensor(1.1038, grad_fn=<AddBackward0>) lctensor(3.9664, grad_fn=<MulBackward0>)
total loss: tensor(0.6541, grad_fn=<AddBackward0>) lctensor(4.8387, grad_fn=<MulBackward0>)
total loss: tensor(0.9457, grad_fn=<AddBackward0>) lctensor(4.3910, grad_fn=<MulBackward0>)
total loss: tensor(0.7969, grad_fn=<AddBackward0>) lctensor(3.5597, grad_fn=<MulBackward0>)
total loss: tensor(0.7111, grad_fn=<AddBackward0>) lctensor(4.4099, grad_fn=<MulBackward0>)
total loss: tensor(0.7105, grad_fn=<AddBackward0>) lctensor(3.5538, grad_fn=<MulBackward0>)
total loss: tensor(0.7463, grad_fn=<AddBackward0>) lctensor(4.4900, grad_fn=<MulBackward0>)
total loss: tensor(1.0209, grad_fn=<AddBackward0>) lctensor(3.4127, grad_fn=<MulBackward0>)
total loss: tensor(0.6613, grad_fn=<AddBackward0>) lctensor(4.0739, grad_fn=<MulBackward0>)
total loss: tensor(7.3510, grad_fn=<AddBackward0>) lctensor(4.2908, grad_fn=<MulBackward0>)
total loss: tensor(0.6237, grad_fn=<AddBackward0>) lctensor(4.8230, grad_fn=<MulBackward0>)
total loss: tensor(0.8835, grad_fn=<AddBackward0>) lctensor(4.4411, grad_fn=<MulBackward0>)
total loss: tensor(1.0525, grad_fn=<AddBackward0>) lctensor(3.4166, grad_fn=<MulBackward0>)
total loss: tensor(0.7870, grad_fn=<AddBackward0>) lctensor(4.1340, grad_fn=<MulBackward0>)
total loss: tensor(0.5459, grad_fn=<AddBackward0>) lctensor(4.9191, grad_fn=<MulBackward0>)
total loss: tensor(1.2149, grad_fn=<AddBackward0>) lctensor(4.1491, grad_fn=<MulBackward0>)
total loss: tensor(0.5583, grad_fn=<AddBackward0>) lctensor(4.8713, grad_fn=<MulBackward0>)
total loss: tensor(3.0421, grad_fn=<AddBackward0>) lctensor(4.4725, grad_fn=<MulBackward0>)
total loss: tensor(1.8682, grad_fn=<AddBackward0>) lctensor(3.2622, grad_fn=<MulBackward0>)
total loss: tensor(0.6842, grad_fn=<AddBackward0>) lctensor(3.8415, grad_fn=<MulBackward0>)
total loss: tensor(0.5253, grad_fn=<AddBackward0>) lctensor(4.4940, grad_fn=<MulBackward0>)
total loss: tensor(0.8284, grad_fn=<AddBackward0>) lctensor(3.8087, grad_fn=<MulBackward0>)
total loss: tensor(0.5909, grad_fn=<AddBackward0>) lctensor(4.6233, grad_fn=<MulBackward0>)
total loss: tensor(1.9979, grad_fn=<AddBackward0>) lctensor(4.5752, grad_fn=<MulBackward0>)
total loss: tensor(0.6723, grad_fn=<AddBackward0>) lctensor(3.2116, grad_fn=<MulBackward0>)
total loss: tensor(0.7313, grad_fn=<AddBackward0>) lctensor(3.8352, grad_fn=<MulBackward0>)
total loss: tensor(0.5748, grad_fn=<AddBackward0>) lctensor(4.5980, grad_fn=<MulBackward0>)
total loss: tensor(27.6730, grad_fn=<AddBackward0>) lctensor(3.6928, grad_fn=<MulBackward0>)
total loss: tensor(8.8664, grad_fn=<AddBackward0>) lctensor(4.1600, grad_fn=<MulBackward0>)
total loss: tensor(1.7801, grad_fn=<AddBackward0>) lctensor(4.7774, grad_fn=<MulBackward0>)
total loss: tensor(30.7328, grad_fn=<AddBackward0>) lctensor(4.1526, grad_fn=<MulBackward0>)
total loss: tensor(124.5048, grad_fn=<AddBackward0>) lctensor(3.6052, grad_fn=<MulBackward0>)
total loss: tensor(216.4391, grad_fn=<AddBackward0>) lctensor(4.0746, grad_fn=<MulBackward0>)
total loss: tensor(124.9852, grad_fn=<AddBackward0>) lctensor(4.7068, grad_fn=<MulBackward0>)
total loss: tensor(117.1280, grad_fn=<AddBackward0>) lctensor(4.9283, grad_fn=<MulBackward0>)
total loss: tensor(118.8503, grad_fn=<AddBackward0>) lctensor(4.2118, grad_fn=<MulBackward0>)
total loss: tensor(111.6449, grad_fn=<AddBackward0>) lctensor(4.4199, grad_fn=<MulBackward0>)
total loss: tensor(113.8641, grad_fn=<AddBackward0>) lctensor(4.5573, grad_fn=<MulBackward0>)
total loss: tensor(111.0521, grad_fn=<AddBackward0>) lctensor(4.8186, grad_fn=<MulBackward0>)
total loss: tensor(108.0956, grad_fn=<AddBackward0>) lctensor(4.2166, grad_fn=<MulBackward0>)
total loss: tensor(102.3253, grad_fn=<AddBackward0>) lctensor(4.5507, grad_fn=<MulBackward0>)
total loss: tensor(96.4174, grad_fn=<AddBackward0>) lctensor(4.5821, grad_fn=<MulBackward0>)
total loss: tensor(95.0802, grad_fn=<AddBackward0>) lctensor(4.7233, grad_fn=<MulBackward0>)
total loss: tensor(94.2105, grad_fn=<AddBackward0>) lctensor(4.1786, grad_fn=<MulBackward0>)
total loss: tensor(89.1802, grad_fn=<AddBackward0>) lctensor(4.4027, grad_fn=<MulBackward0>)
total loss: tensor(90.6681, grad_fn=<AddBackward0>) lctensor(4.5260, grad_fn=<MulBackward0>)
total loss: tensor(43.4014, grad_fn=<AddBackward0>) lctensor(4.3695, grad_fn=<MulBackward0>)
total loss: tensor(13.4148, grad_fn=<AddBackward0>) lctensor(4.6043, grad_fn=<MulBackward0>)
total loss: tensor(13.7194, grad_fn=<AddBackward0>) lctensor(4.2204, grad_fn=<MulBackward0>)
total loss: tensor(40.9996, grad_fn=<AddBackward0>) lctensor(4.4483, grad_fn=<MulBackward0>)
total loss: tensor(92.7312, grad_fn=<AddBackward0>) lctensor(4.3184, grad_fn=<MulBackward0>)
total loss: tensor(92.1257, grad_fn=<AddBackward0>) lctensor(4.8000, grad_fn=<MulBackward0>)
total loss: tensor(95.3164, grad_fn=<AddBackward0>) lctensor(4.5737, grad_fn=<MulBackward0>)
total loss: tensor(97.4313, grad_fn=<AddBackward0>) lctensor(4.8104, grad_fn=<MulBackward0>)
total loss: tensor(90.4258, grad_fn=<AddBackward0>) lctensor(4.7274, grad_fn=<MulBackward0>)
total loss: tensor(56.5503, grad_fn=<AddBackward0>) lctensor(4.9246, grad_fn=<MulBackward0>)
total loss: tensor(49.8341, grad_fn=<AddBackward0>) lctensor(4.4997, grad_fn=<MulBackward0>)
total loss: tensor(40.6318, grad_fn=<AddBackward0>) lctensor(4.9136, grad_fn=<MulBackward0>)
